komentar;sentiment
Mampu memahami dan mengetahui beberapa materi dan ilmu baru dari perkuliahan ini ;positif
Dalam menerangkan pelajaran cukup baik dan mudah dipahami;positif
Lebih nyaman, rilex, tidak tegang, tidak merepresentasikan kuliah yang monoton, membuat semangat, happy, dan tidak ngantuk;positif
Menurut saya pribadi yaitu penjelasan yang sangat detail sehingga itu membuat mahasiswa paham ;positif
Dalam perkuliahan ini yg menjadi kelebihan utama adalah teori penjelasan yg langsung dipraktekan, jado bukan hanya memahami secara teori tpi juga paham akan prakteknya;positif
Menurut saya adalah dosen yang friendly dalam perkuliahan, tidak selalu duniawi. That was great;positif
Kelebihan nya karena beberapa materi ada yang sama dengan sekolah saya sebelumnya nya jadi saya merasa lebih paham dan juga lebih enak ;positif
Adanya praktikum dan tugas yang membuat saya lebih mudah paham;positif
Pembelajaran materi pada mata kuliah ini mudah di pahami dan cepat;positif
Menurut saya dalam perkuliahan ini terasa puas yakni terutama dari dosennya, dari perkuliahan ini di jelaskan sejelas jelasnya bagaimana materi hari ini, terus ada juga quiz dadakannya yang membuat kita tertantang dan selalu mengingat materi yang ada di quiz tersebut.;positif
antara teori dan praktek langsung dijadikan di satu semester jadi setelah di jelaskan masih ingat;positif
kelebihan dari perkuliahan ini adalah dosen yang menjelaskan materi secrara detail dan mudah dipahami, materi yang dijelaskan berupa ppt sehingga poin dari materi dapat lebih mudah dipahami.;positif
Kelebihannya sering praktikum sehingga saya menjadi lebih paham dan materi yang di sampaikan mudah di pahami;positif
Iyaa kegiatan belajar yang dilakukan secara kelompok membuat saya puas dn juga merasa terbantu dg adanya kelompok untuk belajar lebih dalam ;positif
Kelebihannya dalam perkuliahan ini adalah praktikumnya, jadi kalo menurut saya ketika sudah dijelaskan lalu dipraktekkan itu akan mudah teringat;positif
Penjelasan yang dilakukan oleh dosen mudah dipahami ;positif
Setiap selesai dari suatu materi dari berapa Bab atau pertemuan ada quiz Yang membuat Kita tahu batas kemampuan pemahaman Kita.;positif
Perkuliahan dilaksanakan secara tepat waktu, interaktif menggunakan metode pembelajaran yang tidak membosankan, dan dosen memberikan materi hasil rangkuman dosen sendiri sehingga mudah dipahami.;positif
metode perkuliah dengan berkelompok menurut saya efektif dan puas karena menjadi lebih intens dalam memahami materi lingkup tidak terlalu luas;positif
mentor utama tetap dilakukan oleh dosen dan tetap ada feedback;positif
Dalam perkuliahan ini, yang menjadi kelebihan utamanya yaitu dosen menjelaskan kepada mahasiswa dengan santai tetapi mudah dipahami oleh mahasiswanya. Karena tidak semua dosen profesional dalam mengajarkan materinya ke mahasiswa. ;positif
Pada perkuliahan ini, dengan adanya teori dan praktikum, saya diberikan kesempatan untuk mengembangkan apa yang telah di dapat. ;positif
saya suka dari cara penyampaian materi dosen nya karena mudah dipahami dan mengajarkan materi sedikit demi sedikit yang pasti lebih mudah dipahami daripada banyak materi tapi mahasiswa nya banyak yang kurang paham ;positif
lumayan mengerti dengan materi karena penjelasannya yang sudah jelas dan mudah dipahami;positif
 Bisa berlatih menulis laporan nya dan meninjau pelajaran juga;positif
Menurut saya, kelebihan utama dalam perkuliahan matkul jarkom ini yang membuat saya merasa puas adalah kemampuan untuk mempelajari tentang teknologi di bidang jaringan & komputer ;positif
Iya Menurut saya kelebihan untuk perkuliahan ini saya merasa puas ;positif
Saya suka dengan cara penyampaian materi oleh pak hrm, singkat, padat, namun sangat jelas dan sangat mudah dipahami. Tidak bertele-tele, tidak hanya materi saja, tapi ada praktik langsung. Jadi pembelajaran terjadi secara dua arah, bukan hanya satu arah. ;positif
Dapat menjelaskan dengan detail dan dapat dipahami dalam perkuliahan ini;positif
Dosen selalu memberikan Brinstroming dan memberikan contoh dari materi secara sederhana serta memberikan soal dari yang sudah dijelaskan. ;positif
Mengetahui bagaimana proses dari transfer data, cara mendefinisikan, menjelaskan, serta menganalisis sebuah jaringan;positif
Cara dosen menjelaskan dibagi per layer jadi lebih enak dalam menerima materi;positif
menurut saya dalam perkuliahan ini sangat baik untuk penjelasan setiap materi yang diajarkan;positif
Materinya baru yang membuat saya merasa terpacu atau tertarik mempelajari materi tersebut ;positif
pemaparan materi jelas dan tidak bertele-tele, perkuliahan juga interaktif sehingga mhs tidak mudah bosan;positif
Penjelasan tentang materi yang disertakan dengan contoh membuat saya lebih paham dengan matkul ini. Tidak hanya teori teori saja yang jika dibaca ulang ulang tanpa adanya praktik/contohnya hanya membuat pusing.;positif
Menurut saya didalam perkuliahan ini apa yang diajar dosen sangat mudah dipahami;positif
adanya interaksi yang baik antar dosen dan mahasiswa serta penjelasannya cukup baik;positif
Bisa berinteraksi dengan dosen, menemukan kunci pemahaman sebuah konsep dasar dari materi tersebut, jadinya apabila ada yang berargumen tidak kebingungan lagi, memahami materi dengan jelas. ;positif
menurut saya yang menjadi kelebihan utama dalam perkuliahan ini yang membuat saya merasa puas adalah kelas nya lebih asik dan berekspresi ;positif
Sebenarnya dalam perkuliahan jaringan komputer saya cukup puas karena pemateri atau dosen menjelaskan materi secara detail akan tetapi kata2 dalam penyampaian kurang jelas;positif
kegiatan praktikumnya seru jadi lebih mengenal, ingat, dan paham alat bahan yang dipelajari;positif
Materi yang diberikan saat perkuliahan cukup mudah untuk dipahami saya;positif
Menurut saya penjelasan materi yang diberikan pak hrm cukup jelas dan mudah dipahami.;positif
ada pembelajaran yang medianya interaktif seperti praktek langsung bagaimana cara jaringan komputer bekerja dengan berkelompok dengan teman sekelas;positif
cara penyampain materi yang di berikan oleh pak hrm cukup baik dan mudah dipahami ;positif
adanya pembelajaran praktikum yang dapat di matakuliah ini sehingga memantapkan pembelajaran. Serta adanya cara belajar dengan berdiskusi kelompok sehingga bisa saling bertukar pikiran dan sudut pandang pikran menjadi lebih luas.;positif
Penjelasan tiap subbab mudah dipahami bagi orang awam yang baru belajar tentang jaringan komputer;positif
cara dosen menjelaskan sangat baik dan jelas serta tegas dalam pengucapan/penyampaianya seginga mudah dicerna;positif
Banyak tugas sehingga lebih mematangkan pemahaman terhadap materi yang diberikan.;positif
Saya suka cara mengajar yang tidak membosankan, membuat suasana kelas hidup, dan menjelaskan materi dengan rinci dan mudah dipahami;positif
Perkuliahan terasa menyenangkan dan tidak membosankan sehingga materi akan lebih bisa di pahami;positif
Saat perkuliahan berlangsung, keadaan kelas seru dan aktif baik dari dosen maupun darui mahasiswa ;positif
cara Pak hrm menerangkan luwes, tidak kaku, dan agak mudah dipahami oleh saya sendiri ;positif
Interaksi dalam perkuliahan sangat interaktif dan inovasi pembelajaran yang beragam perkuliahan menjadi tidak membosankan;positif
akses ke pengetahuan mendalam, interaksi dengan dosen dan teman sekelas,;positif
Sebelum masuk ke materi inti dosen memberikan gambaran umum telebih dahulu jadi kita sebagai mahasiswa itu tau tentang apa yang akan dipelajari dan itu sangat membantu mahasiswa dalam pembelajaran;positif
Pada perkuliahan ini membuat saya merasa lumayan puas dengan ada perkuliahan secara teori dan praktek ;positif
"1.) Komunikasi yang interaktif; 2.) Presentasi yang menarik.";positif
Kelebihannya teori dan praktek selaras jadi teori yang masih kurang jelas bisa lebih jelas karna praktikum;positif
Dalam menjelaskan sering diberi gambarannya, sehingga lebih mudah dalam memahami materi yang disampaikan;positif
pak hrm menyampaikan materi secara detail dan lumayan mudah di mengerti;positif
Dosen udah memberikan gambaran umum perkuliahan , jadi mudah untuk dipahami ;positif
Saya merasa puas karena metode belajarnya yang tidak berbelit Belit, tetapi tetap detail penjelasannya dan mudah dipahami, dan cara mengajar nya pun lebih ke arah mengajak;positif
