komentar;sentiment
perkuliahan menarik  dosen sangat kompeten  ;positif
Mampu memahami dan mengetahui beberapa materi dan ilmu baru dari perkuliahan ini ;positif
Dalam menerangkan pelajaran cukup baik dan mudah dipahami;positif
Lebih nyaman  rilex  tidak tegang  tidak merepresentasikan kuliah yang monoton  membuat semangat  happy  dan tidak ngantuk;positif
Menurut saya pribadi yaitu penjelasan yang sangat detail sehingga itu membuat mahasiswa paham ;positif
Dalam perkuliahan ini yg menjadi kelebihan utama adalah teori penjelasan yg langsung dipraktekan  jado bukan hanya memahami secara teori tpi juga paham akan prakteknya;positif
Menurut saya adalah dosen yang friendly dalam perkuliahan  tidak selalu duniawi. That was great;positif
Kelebihan nya karena beberapa materi ada yang sama dengan sekolah saya sebelumnya nya jadi saya merasa lebih paham dan juga lebih enak ;positif
Adanya praktikum dan tugas yang membuat saya lebih mudah paham;positif
Pembelajaran materi pada mata kuliah ini mudah di pahami dan cepat;positif
Menurut saya dalam perkuliahan ini terasa puas yakni terutama dari dosennya  dari perkuliahan ini di jelaskan sejelas jelasnya bagaimana materi hari ini  terus ada juga quiz dadakannya yang membuat kita tertantang dan selalu mengingat materi yang ada di quiz tersebut.;positif
antara teori dan praktek langsung dijadikan di satu semester jadi setelah di jelaskan masih ingat;positif
kelebihan dari perkuliahan ini adalah dosen yang menjelaskan materi secrara detail dan mudah dipahami  materi yang dijelaskan berupa ppt sehingga poin dari materi dapat lebih mudah dipahami.;positif
Kelebihannya sering praktikum sehingga saya menjadi lebih paham dan materi yang di sampaikan mudah di pahami;positif
Iyaa kegiatan belajar yang dilakukan secara kelompok membuat saya puas dn juga merasa terbantu dg adanya kelompok untuk belajar lebih dalam ;positif
Kelebihannya dalam perkuliahan ini adalah praktikumnya  jadi kalo menurut saya ketika sudah dijelaskan lalu dipraktekkan itu akan mudah teringat;positif
Penjelasan yang dilakukan oleh dosen mudah dipahami ;positif
Setiap selesai dari suatu materi dari berapa Bab atau pertemuan ada quiz Yang membuat Kita tahu batas kemampuan pemahaman Kita.;positif
Perkuliahan dilaksanakan secara tepat waktu  interaktif menggunakan metode pembelajaran yang tidak membosankan  dan dosen memberikan materi hasil rangkuman dosen sendiri sehingga mudah dipahami.;positif
metode perkuliah dengan berkelompok menurut saya efektif dan puas karena menjadi lebih intens dalam memahami materi lingkup tidak terlalu luas;positif
mentor utama tetap dilakukan oleh dosen dan tetap ada feedback;positif
Dalam perkuliahan ini  yang menjadi kelebihan utamanya yaitu dosen menjelaskan kepada mahasiswa dengan santai tetapi mudah dipahami oleh mahasiswanya. Karena tidak semua dosen profesional dalam mengajarkan materinya ke mahasiswa. ;positif
